x_from=50000
x_to=51000
now is 2014-03-10.00:33:51
50003^10 + 5567^59
50003^49 + 5574^68
50003^70 + 18052^91
50003^67 + 18071^35
50003^55 + 5632^78
50003^26 + 11887^6
50003^99 + 18122^37
50003^97 + 11924^3
50003^52 + 5708^99
50003^68 + 11987^74
50003^46 + 11991^81
y=12000
50003^23 + 30764^96
50003^40 + 12040^90
50003^60 + 30853^26
50003^17 + 5892^60
50003^11 + 12146^50
50003^60 + 12160^83
50003^85 + 30917^4
50003^13 + 5959^75
50003^69 + 12189^55
50003^16 + 30950^40
50003^15 + 12213^73
y=6000
50003^52 + 18466^74
50003^48 + 6034^31
50003^46 + 18483^70
50003^7 + 31005^3
50003^20 + 6060^19
50003^90 + 31045^63
50003^36 + 6082^78
50003^79 + 18547^56
50003^4 + 6097^53
50003^29 + 18566^98
50003^46 + 18597^61
50003^97 + 12464^44
50003^90 + 12473^74
50003^59 + 6245^17
50003^18 + 18725^29
50003^43 + 18776^10
50003^10 + 31287^24
50003^28 + 21936^61
50003^33 + 31304^21
50003^56 + 18858^30
y=22000
50003^11 + 20428^68
50003^93 + 22036^14
50003^41 + 31407^70
50003^60 + 31445^67
50003^7 + 31495^30
50003^84 + 18986^83
50003^64 + 31512^65
y=19000
50003^94 + 20749^81
50003^80 + 31721^27
50003^35 + 20779^17
50003^6 + 20795^26
50003^79 + 22423^66
50003^82 + 20837^32
50003^97 + 31804^82
50003^81 + 19333^55
50003^60 + 31910^61
50003^56 + 31927^62
50003^29 + 19422^29
50003^82 + 20980^56
50003^16 + 19429^55
y=21000
50003^24 + 21004^39
50003^97 + 31956^87
50003^28 + 21029^45
y=32000
50003^54 + 32021^5
50003^40 + 22691^89
50003^25 + 22696^83
50003^15 + 19541^61
50003^36 + 21119^61
50003^25 + 22752^24
50003^50 + 22795^14
50003^28 + 19655^36
50003^84 + 22824^37
50003^25 + 32187^41
50003^68 + 22844^86
50003^30 + 19687^70
50003^7 + 22852^41
50003^10 + 19694^91
50003^40 + 19713^88
50003^13 + 22894^54
50003^70 + 32261^3
50003^83 + 19749^39
50003^42 + 22935^77
50003^59 + 19772^64
50003^39 + 32291^94
50003^5 + 32296^98
50003^11 + 22956^19
50003^69 + 21392^54
y=23000
50003^99 + 32362^21
50003^36 + 32400^29
50003^40 + 21525^22
50003^78 + 32469^76
50003^3 + 19990^35
50003^26 + 32506^32
y=20000
50003^35 + 21593^43
50003^89 + 32532^17
50003^44 + 21626^9
50003^84 + 20091^65
50003^60 + 21686^69
50003^87 + 23313^21
50003^70 + 23325^60
50003^52 + 20176^90
50003^85 + 23338^27
50003^61 + 20208^63
50003^19 + 21796^53
50003^64 + 21807^56
50003^10 + 32751^96
50003^97 + 32791^45
50003^35 + 20277^76
50003^11 + 21872^51
50003^76 + 20307^4
50003^32 + 23480^21
50003^54 + 23484^11
50003^8 + 23510^34
50003^92 + 43845^25
50003^69 + 43860^34
50003^53 + 23599^3
50003^17 + 43884^64
50003^64 + 23616^23
50003^28 + 37660^8
50003^41 + 43894^81
50003^3 + 43905^68
50003^87 + 32998^51
y=33000
50003^29 + 43924^61
50003^41 + 23660^71
50003^10 + 43944^62
50003^67 + 37723^87
50003^85 + 37761^79
y=44000
50003^42 + 37835^38
50003^35 + 23833^100
50003^16 + 37873^19
50003^66 + 44129^32
50003^71 + 23866^88
50003^31 + 33287^28
50003^33 + 44224^35
y=38000
50003^86 + 44240^45
50003^42 + 38012^47
y=24000
50003^94 + 44280^21
50003^87 + 44291^46
50003^38 + 33380^67
50003^71 + 44321^39
50003^98 + 38094^5
50003^60 + 38111^82
50003^10 + 24115^89
50003^83 + 38150^51
50003^17 + 38183^87
50003^100 + 24160^47
50003^49 + 33521^53
50003^4 + 24201^53
50003^33 + 38270^80
50003^97 + 38284^38
50003^55 + 44561^31
50003^46 + 38326^39
50003^43 + 44605^14
50003^93 + 38353^7
50003^43 + 38365^85
50003^5 + 38370^46
50003^82 + 44725^20
50003^94 + 44769^22
50003^76 + 33869^89
50003^55 + 44803^63
50003^65 + 44845^51
50003^91 + 24592^7
y=34000
50003^70 + 38681^20
50003^48 + 38683^91
50003^71 + 34035^67
50003^67 + 44963^63
50003^82 + 44965^11
50003^78 + 38738^79
y=45000
50003^72 + 34105^76
50003^60 + 34114^72
50003^20 + 45034^89
50003^96 + 24842^81
50003^78 + 38864^45
50003^51 + 34229^100
50003^91 + 34269^97
50003^29 + 45182^6
50003^66 + 45192^7
50003^59 + 38949^98
50003^42 + 34292^99
y=39000
y=25000
50003^13 + 39021^68
50003^8 + 34356^50
50003^31 + 46920^48
50003^70 + 45301^20
50003^90 + 45312^31
50003^17 + 46984^21
y=47000
50003^42 + 45421^62
50003^86 + 34511^34
50003^29 + 45430^14
50003^12 + 39196^5
50003^89 + 34524^79
50003^13 + 45456^10
50003^24 + 47077^71
50003^13 + 39242^41
50003^27 + 39253^86
50003^64 + 39273^73
50003^34 + 47122^38
50003^60 + 34602^89
50003^56 + 47122^76
50003^48 + 39300^65
50003^39 + 47148^88
50003^7 + 45594^36
50003^74 + 47193^67
50003^35 + 47204^43
50003^64 + 45633^33
50003^95 + 45643^58
50003^57 + 47225^63
50003^85 + 39410^57
50003^64 + 45689^5
50003^100 + 39440^64
50003^100 + 47308^55
50003^16 + 39545^28
50003^65 + 34891^86
50003^66 + 34897^81
50003^87 + 39588^55
y=35000
50003^64 + 39688^89
50003^33 + 45963^78
50003^23 + 35038^98
50003^69 + 39732^52
y=46000
50003^55 + 46005^60
50003^18 + 46012^82
50003^56 + 39805^70
50003^89 + 39836^17
50003^75 + 47690^12
50003^60 + 39857^4
50003^35 + 47710^58
50003^98 + 39872^85
50003^7 + 39878^67
50003^4 + 47774^65
50003^78 + 39922^71
50003^28 + 47785^66
50003^31 + 47823^56
y=40000
50003^41 + 35359^94
50003^62 + 35360^53
50003^65 + 47884^99
50003^74 + 35369^89
50003^98 + 47892^60
50003^19 + 40054^23
50003^61 + 35403^69
50003^86 + 47932^14
50003^68 + 40080^86
50003^15 + 46412^12
50003^65 + 47984^6
50003^90 + 46444^47
y=48000
50003^59 + 35497^24
50003^42 + 46488^32
50003^36 + 35536^72
50003^32 + 46505^64
50003^33 + 35569^96
50003^39 + 35580^34
50003^49 + 35632^36
50003^71 + 40279^74
50003^36 + 46603^62
50003^62 + 40336^89
50003^78 + 35691^17
50003^5 + 40372^93
50003^78 + 40388^7
50003^66 + 48269^79
50003^27 + 48271^72
50003^95 + 40422^89
50003^56 + 35816^56
50003^8 + 35823^58
50003^73 + 48357^65
50003^9 + 35842^48
50003^92 + 40516^93
50003^5 + 35891^59
50003^12 + 40588^44
50003^21 + 48482^26
50003^11 + 48486^14
50003^39 + 48496^69
50003^89 + 48516^36
y=36000
50003^36 + 40735^14
50003^65 + 40773^97
50003^97 + 36065^72
50003^92 + 42326^9
50003^69 + 48697^35
50003^9 + 40882^10
50003^93 + 42396^82
50003^50 + 48714^44
50003^96 + 42436^26
50003^41 + 48761^31
50003^37 + 36256^85
50003^42 + 42480^66
50003^94 + 40985^33
y=41000
50003^48 + 36299^38
50003^78 + 42564^75
50003^87 + 48896^51
50003^5 + 41081^17
50003^3 + 41093^3
50003^78 + 41116^10
50003^78 + 48945^73
50003^12 + 41125^95
50003^95 + 41155^11
50003^66 + 48993^62
y=49000
50003^96 + 41186^67
50003^65 + 36516^9
50003^33 + 41244^17
50003^35 + 41253^37
50003^42 + 36565^92
50003^38 + 49111^27
50003^91 + 49119^34
50003^42 + 42844^26
50003^97 + 36626^66
50003^47 + 41332^7
50003^57 + 42884^45
50003^76 + 42894^6
50003^72 + 42901^61
50003^36 + 49221^77
50003^7 + 41410^35
50003^96 + 36762^25
50003^30 + 49293^78
50003^36 + 49296^17
y=43000
50003^96 + 36796^84
50003^81 + 43031^98
50003^100 + 41576^79
50003^7 + 43122^55
50003^22 + 41583^85
50003^24 + 49447^78
50003^4 + 49463^82
50003^90 + 49469^92
50003^15 + 49499^41
50003^8 + 49506^76
y=37000
50003^66 + 49530^91
50003^72 + 43314^89
50003^23 + 41758^33
50003^28 + 43323^100
50003^85 + 49632^100
50003^78 + 43339^28
50003^74 + 41784^99
50003^37 + 49642^91
50003^45 + 43363^31
50003^9 + 41841^75
50003^19 + 37222^85
50003^24 + 41858^19
50003^14 + 41873^85
50003^91 + 49790^58
50003^27 + 41960^71
50003^94 + 41975^9
50003^39 + 37380^12
y=42000
50003^17 + 42016^66
50003^18 + 37419^16
50003^85 + 49931^6
50003^40 + 49945^27
50003^70 + 49975^9
50003^27 + 43676^74
y=50000
50004^97 + 37507^98
50004^9 + 43777^94
50004^66 + 37543^63
50004^33 + 44035^31
50004^60 + 335^44
50004^65 + 361^51
50004^8 + 44213^62
50004^79 + 25535^91
50004^31 + 38125^10
50004^68 + 617^46
50004^32 + 44395^49
50004^14 + 25819^49
50004^44 + 763^26
50004^61 + 44543^12
50004^12 + 25939^18
50004^44 + 38395^93
50004^10 + 25967^37
50004^66 + 44609^27
50004^93 + 25999^65
50004^95 + 26131^57
50004^23 + 38693^31
50004^89 + 26359^81
50004^84 + 45029^98
50004^64 + 1429^67
50004^41 + 1445^65
50004^57 + 1523^35
50004^62 + 1597^20
50004^19 + 39157^74
50004^12 + 39227^96
50004^36 + 1735^57
50004^47 + 26849^79
50004^20 + 39359^89
50004^29 + 39589^14
50004^75 + 45821^79
50004^74 + 27185^19
50004^20 + 39695^40
50004^36 + 2165^57
50004^100 + 2309^51
50004^78 + 46073^11
50004^10 + 27401^6
50004^97 + 27419^74
50004^70 + 27505^95
50004^66 + 27517^3
50004^16 + 46211^6
50004^83 + 2605^38
50004^90 + 2605^65
50004^4 + 40157^17
50004^37 + 2639^63
50004^50 + 27731^66
50004^22 + 46463^57
50004^91 + 2783^31
50004^99 + 27857^32
50004^100 + 2807^49
50004^20 + 2851^78
50004^31 + 27947^56
50004^79 + 2891^77
50004^99 + 2927^70
50004^39 + 40529^44
50004^85 + 28073^20
50004^70 + 40577^97
50004^71 + 3079^89
50004^64 + 28153^33
50004^29 + 46843^91
50004^73 + 28207^69
50004^75 + 28211^76
50004^59 + 40741^17
50004^61 + 47027^85
50004^20 + 28417^62
50004^86 + 47177^12
50004^17 + 3527^93
50004^23 + 28571^60
50004^32 + 41101^14
50004^39 + 3667^32
50004^47 + 28763^8
50004^81 + 28867^21
50004^89 + 3901^75
50004^76 + 29035^73
50004^71 + 41567^51
50004^51 + 47803^27
50004^4 + 29123^88
50004^99 + 29285^97
50004^53 + 48157^39
50004^54 + 29453^16
50004^95 + 29531^9
50004^23 + 29573^39
50004^43 + 42161^79
50004^92 + 42377^7
50004^52 + 48685^45
50004^57 + 5039^82
50004^54 + 30013^50
50004^3 + 48829^99
50004^43 + 30163^14
50004^29 + 48929^83
50004^91 + 5261^53
50004^84 + 48953^68
50004^47 + 48989^87
50004^11 + 48991^65
50004^25 + 49009^39
50004^67 + 42835^85
50004^33 + 42961^77
50004^80 + 30379^9
50004^54 + 49157^78
50004^9 + 30439^13
50004^49 + 5567^35
50004^3 + 43097^22
50004^24 + 30595^43
50004^65 + 30613^71
50004^27 + 5801^98
50004^13 + 30679^83
50004^26 + 30695^87
50004^91 + 49561^30
50004^18 + 49571^72
50004^11 + 30799^91
50004^53 + 49637^83
50004^12 + 30845^45
50004^7 + 6031^33
50004^24 + 30905^83
50004^32 + 6085^33
50004^7 + 43541^29
50004^17 + 30917^67
50004^64 + 43559^49
50004^24 + 43565^79
50004^97 + 43573^53
50004^41 + 6205^85
50004^89 + 6233^81
50004^41 + 31231^55
50004^99 + 12581^57
50004^46 + 9425^30
50004^55 + 9427^8
50004^33 + 9449^91
50004^23 + 6475^17
50004^9 + 12725^70
50004^93 + 12805^32
50004^100 + 31621^85
50004^70 + 6773^21
50004^65 + 6859^34
50004^93 + 31967^39
50004^55 + 10057^63
50004^57 + 13231^67
50004^49 + 7115^92
50004^15 + 32203^83
50004^43 + 32279^59
50004^52 + 32381^4
50004^12 + 10441^99
50004^84 + 7391^31
50004^71 + 32645^23
50004^26 + 13817^52
50004^34 + 10657^44
50004^19 + 10681^3
50004^98 + 32747^61
50004^10 + 32759^100
50004^71 + 7771^76
50004^33 + 10915^7
50004^61 + 14185^50
50004^53 + 11245^83
50004^98 + 8227^84
50004^55 + 11249^83
50004^59 + 14465^14
50004^64 + 33469^15
50004^4 + 33521^81
50004^81 + 33635^33
50004^79 + 8659^7
50004^35 + 8669^85
50004^76 + 11887^93
50004^6 + 11909^50
50004^85 + 9007^12
50004^26 + 11977^85
50004^80 + 34151^72
50004^82 + 12095^29
50004^48 + 12371^46
50004^70 + 18895^66
50004^4 + 15629^24
50004^92 + 34567^22
50004^64 + 18901^75
50004^93 + 34601^63
50004^79 + 34651^80
50004^49 + 19085^26
50004^64 + 34723^42
50004^100 + 19153^9
50004^59 + 34903^14
50004^71 + 16063^93
50004^67 + 34981^79
50004^64 + 16217^83
50004^77 + 16223^29
50004^5 + 22451^100
50004^99 + 16289^68
50004^54 + 22453^65
50004^18 + 16439^49
50004^11 + 19769^29
50004^79 + 35407^45
50004^22 + 16489^5
50004^79 + 22717^28
50004^35 + 19873^96
50004^75 + 22853^79
50004^15 + 35669^62
50004^7 + 22921^20
50004^45 + 35785^5
50004^48 + 35801^71
50004^8 + 20305^22
50004^13 + 23305^71
50004^77 + 23315^64
50004^44 + 20453^71
50004^29 + 17479^54
50004^15 + 23599^76
50004^89 + 20927^21
50004^11 + 23845^46
50004^56 + 36613^30
50004^100 + 17875^48
50004^14 + 24007^24
50004^77 + 21203^86
50004^13 + 24173^16
50004^88 + 36965^70
50004^22 + 21287^12
50004^23 + 24245^14
50004^96 + 36991^61
50004^79 + 18281^61
50004^21 + 24451^28
50004^15 + 24529^14
50004^82 + 24787^37
50004^38 + 24797^3
50004^80 + 24907^64
50005^62 + 25042^18
50005^55 + 25057^89
50005^91 + 37558^13
50005^27 + 37657^80
50005^88 + 37686^16
50005^36 + 25188^38
50005^69 + 25217^96
50005^30 + 31468^89
50005^29 + 37743^74
50005^98 + 37758^76
50005^18 + 31563^92
50005^73 + 37871^77
50005^8 + 31674^51
50005^23 + 474^70
50005^49 + 37978^50
50005^50 + 499^70
50005^20 + 503^58
50005^17 + 31741^31
50005^79 + 38048^56
50005^23 + 25574^53
50005^55 + 38061^26
50005^39 + 38062^39
50005^25 + 38069^44
50005^11 + 31788^97
50005^98 + 588^31
50005^62 + 25666^45
50005^96 + 648^46
50005^86 + 38182^80
50005^31 + 31886^68
50005^11 + 31892^80
50005^45 + 31972^60
50005^62 + 38283^36
50005^91 + 31977^40
50005^15 + 25832^84
50005^8 + 834^93
50005^97 + 38368^86
50005^60 + 32099^50
50005^58 + 891^55
50005^58 + 32172^33
50005^47 + 26002^52
50005^86 + 32272^14
50005^31 + 1077^4
50005^34 + 1121^16
50005^58 + 1144^59
50005^16 + 26176^57
50005^58 + 1257^15
50005^76 + 32497^15
50005^100 + 38801^82
50005^5 + 1288^50
50005^51 + 32521^41
50005^70 + 32532^81
50005^76 + 38832^20
50005^11 + 32568^6
50005^7 + 38856^25
50005^63 + 26381^23
50005^96 + 38944^72
50005^74 + 26452^52
50005^100 + 26491^28
50005^66 + 1537^41
50005^93 + 26542^34
50005^75 + 39044^63
50005^22 + 26562^83
50005^70 + 39056^98
50005^100 + 32807^61
50005^28 + 1602^27
50005^54 + 39096^51
50005^28 + 26616^17
50005^26 + 26651^22
50005^45 + 39137^50
50005^65 + 1678^62
50005^42 + 32897^20
50005^75 + 39188^95
50005^57 + 39199^9
50005^87 + 1722^61
50005^87 + 26762^84
50005^77 + 39241^93
50005^22 + 32998^68
50005^98 + 33026^38
50005^83 + 26861^18
50005^45 + 1878^32
50005^31 + 33137^80
50005^80 + 26948^27
50005^99 + 33182^17
50005^69 + 39492^35
50005^8 + 39496^68
50005^52 + 2046^4
50005^31 + 27137^92
50005^75 + 2118^93
50005^13 + 33346^69
50005^11 + 39641^76
50005^33 + 33422^4
50005^9 + 39728^57
50005^69 + 2272^23
50005^65 + 33491^26
50005^44 + 33509^8
50005^98 + 33511^59
50005^39 + 39778^35
50005^18 + 39784^3
50005^34 + 27403^73
50005^41 + 2377^79
50005^22 + 2407^47
50005^38 + 39861^54
50005^86 + 39876^64
50005^91 + 27533^30
50005^70 + 27544^58
50005^21 + 2497^89
50005^96 + 33684^45
50005^56 + 2547^43
50005^15 + 33759^77
50005^53 + 40029^64
50005^23 + 33783^4
50005^40 + 2679^64
50005^93 + 40199^27
50005^90 + 40263^11
50005^38 + 34036^87
50005^66 + 27906^84
50005^96 + 40299^63
50005^37 + 27946^16
50005^56 + 34088^48
50005^56 + 34147^4
50005^95 + 3001^40
50005^96 + 40448^85
50005^29 + 40466^53
50005^30 + 40467^52
50005^83 + 40491^88
50005^99 + 34273^63
50005^14 + 34289^42
50005^84 + 40539^77
50005^28 + 40549^86
50005^97 + 40577^32
50005^75 + 40656^94
50005^45 + 40668^48
50005^49 + 34457^99
50005^64 + 28339^91
50005^57 + 40716^96
50005^78 + 34481^96
50005^75 + 28373^62
50005^7 + 28383^89
50005^69 + 28403^62
50005^81 + 34628^44
50005^69 + 40878^71
50005^69 + 34629^44
50005^80 + 40879^72
50005^73 + 28523^96
50005^82 + 40889^57
50005^77 + 40929^45
50005^31 + 34794^99
50005^81 + 3674^64
50005^76 + 41131^81
50005^71 + 41146^73
50005^52 + 34909^68
50005^6 + 34944^64
50005^43 + 41299^52
50005^87 + 35068^52
50005^33 + 41309^54
50005^26 + 28939^98
50005^51 + 28988^44
50005^98 + 35131^70
50005^72 + 29047^16
50005^53 + 4022^6
50005^56 + 35302^8
50005^47 + 41557^45
50005^74 + 41563^73
50005^75 + 35343^90
50005^74 + 41678^96
50005^71 + 29354^72
50005^79 + 41834^61
50005^67 + 4441^36
50005^3 + 35667^47
50005^38 + 35709^100
50005^46 + 35731^37
50005^83 + 42013^56
50005^57 + 42014^54
50005^86 + 4586^7
50005^63 + 35804^49
50005^9 + 29691^57
50005^48 + 35834^49
50005^90 + 29718^87
50005^17 + 4683^41
50005^30 + 29754^38
50005^87 + 35889^36
50005^61 + 4741^26
50005^23 + 35949^86
50005^64 + 29878^33
50005^49 + 42243^81
50005^87 + 29887^33
50005^20 + 42291^23
50005^43 + 4917^69
50005^65 + 4921^83
50005^98 + 36116^90
50005^10 + 30039^90
50005^37 + 30073^66
50005^20 + 42453^52
50005^85 + 4999^4
50005^34 + 5001^30
50005^64 + 5016^56
50005^53 + 42492^27
50005^61 + 30151^8
50005^45 + 30169^42
50005^97 + 5062^88
50005^73 + 30174^51
50005^37 + 42544^8
50005^63 + 36342^98
50005^47 + 42622^22
50005^27 + 30282^25
50005^12 + 5223^14
50005^17 + 36439^50
50005^80 + 42704^86
50005^83 + 36468^37
50005^35 + 36479^99
50005^92 + 5389^89
50005^100 + 42884^91
50005^70 + 5428^82
50005^21 + 30588^61
50005^45 + 5466^12
50005^45 + 30603^27
50005^64 + 30608^65
50005^52 + 36712^26
50005^85 + 30622^65
50005^73 + 36737^71
50005^96 + 30622^73
50005^41 + 36738^55
50005^82 + 5526^87
50005^56 + 30652^89
50005^22 + 5562^81
50005^15 + 36822^94
50005^39 + 36826^61
50005^15 + 43108^64
50005^64 + 43108^39
50005^76 + 36894^65
50005^37 + 30798^80
50005^35 + 43203^96
50005^36 + 5749^34
50005^18 + 5751^42
50005^13 + 30873^93
50005^92 + 37032^54
50005^88 + 37086^35
50005^51 + 43352^44
50005^84 + 37116^58
50005^57 + 31056^95
50005^59 + 31066^69
50005^79 + 6009^74
50005^95 + 43579^96
50005^35 + 12503^82
50005^75 + 12614^5
50005^6 + 46893^50
50005^90 + 46896^29
50005^85 + 6337^26
50005^30 + 43886^20
50005^49 + 43902^28
50005^88 + 47021^91
50005^49 + 12802^61
50005^9 + 12803^74
50005^32 + 12853^69
50005^64 + 47079^78
50005^47 + 47086^41
50005^52 + 43971^29
50005^92 + 6532^11
50005^24 + 6553^13
50005^7 + 12956^93
50005^39 + 47174^100
50005^40 + 6626^60
50005^99 + 44079^46
50005^20 + 13012^13
50005^52 + 47246^39
50005^68 + 13041^65
50005^53 + 47299^79
50005^26 + 6802^78
50005^20 + 44252^36
50005^18 + 6816^51
50005^8 + 44268^97
50005^17 + 6859^72
50005^67 + 13223^87
50005^21 + 6922^46
50005^11 + 13291^30
50005^53 + 13314^32
50005^73 + 13317^74
50005^56 + 47529^76
50005^75 + 47544^23
50005^90 + 44448^46
50005^6 + 47613^88
50005^41 + 13446^75
50005^31 + 44593^40
50005^53 + 47703^55
50005^90 + 13522^86
50005^87 + 7298^51
50005^40 + 47867^59
50005^29 + 44783^69
50005^59 + 13687^42
50005^35 + 13699^45
50005^30 + 48001^61
50005^68 + 7471^14
50005^58 + 13783^85
50005^76 + 7479^28
50005^97 + 7514^84
50005^6 + 7544^36
50005^56 + 7553^96
50005^100 + 7566^22
50005^49 + 7587^43
50005^84 + 13912^75
50005^78 + 45071^75
50005^100 + 48181^70
50005^73 + 48192^62
50005^48 + 13939^5
50005^94 + 45104^93
50005^62 + 7668^53
50005^59 + 14002^58
50005^46 + 48301^51
50005^64 + 7727^26
50005^99 + 7772^51
50005^87 + 45289^48
50005^91 + 7872^96
50005^34 + 45366^31
50005^25 + 7894^26
50005^62 + 45399^90
50005^68 + 7913^28
50005^55 + 45419^5
50005^4 + 45438^35
50005^23 + 48587^26
50005^69 + 7996^72
50005^72 + 48598^12
50005^55 + 8016^37
50005^42 + 14383^76
50005^33 + 14403^55
50005^78 + 8073^79
50005^13 + 14473^35
50005^51 + 48769^78
50005^11 + 14567^23
50005^40 + 45734^54
50005^55 + 14598^56
50005^13 + 14686^19
50005^44 + 49001^3
50005^84 + 8407^42
50005^23 + 45929^86
50005^68 + 49029^87
50005^92 + 49042^50
50005^11 + 46004^35
50005^28 + 14921^65
50005^27 + 14991^63
50005^30 + 46132^70
50005^50 + 46176^21
50005^49 + 8671^8
50005^63 + 15046^75
50005^70 + 8686^75
50005^39 + 15054^31
50005^39 + 8733^4
50005^4 + 46234^44
50005^3 + 49326^31
50005^42 + 49346^99
50005^74 + 8811^52
50005^17 + 15244^25
50005^59 + 46424^20
50005^65 + 15317^54
50005^78 + 8953^34
50005^81 + 8986^42
50005^47 + 46551^45
50005^66 + 49662^86
50005^85 + 46568^79
50005^34 + 9097^49
50005^7 + 49768^3
50005^12 + 49788^87
50005^94 + 9231^83
50005^64 + 49873^18
50005^42 + 46791^95
50005^19 + 46797^34
50005^88 + 49938^30
50005^49 + 46857^58
50005^74 + 49954^85
50005^44 + 15754^60
50005^32 + 9393^55
50005^57 + 15794^60
50005^37 + 15809^41
50005^44 + 15834^34
50005^48 + 18812^78
50005^98 + 9537^90
50005^17 + 15936^78
50005^8 + 18874^50
50005^92 + 15958^98
50005^88 + 18902^34
50005^83 + 16023^65
50005^94 + 11241^32
50005^53 + 18971^96
50005^29 + 16093^80
50005^65 + 11328^13
50005^4 + 19178^57
50005^94 + 9879^61
50005^82 + 9917^3
50005^43 + 19301^3
50005^53 + 19356^40
50005^20 + 10073^73
50005^80 + 10148^63
50005^69 + 19487^68
50005^58 + 19552^57
50005^35 + 11847^40
50005^55 + 11847^31
50005^81 + 11871^59
50005^57 + 11892^33
50005^37 + 10364^44
50005^14 + 16762^39
50005^25 + 19679^88
50005^54 + 11956^75
50005^33 + 16827^76
50005^92 + 11986^31
50005^59 + 10446^18
50005^85 + 16868^54
50005^15 + 12033^25
50005^46 + 16878^40
50005^66 + 19842^72
50005^70 + 16979^51
50005^93 + 12151^16
50005^66 + 12286^54
50005^97 + 17153^51
50005^83 + 17194^45
50005^31 + 20132^76
50005^43 + 10888^9
50005^26 + 10901^51
50005^20 + 17293^34
50005^87 + 17346^49
50005^20 + 17407^30
50005^25 + 23562^96
50005^18 + 17482^84
50005^19 + 17483^93
50005^53 + 20371^33
50005^90 + 23584^99
50005^37 + 22032^83
50005^8 + 22033^86
50005^87 + 22039^64
50005^71 + 23603^32
50005^44 + 23616^38
50005^74 + 20448^63
50005^13 + 17591^71
50005^79 + 22211^24
50005^57 + 20627^16
50005^20 + 20667^8
50005^56 + 23868^58
50005^11 + 20677^36
50005^83 + 22311^24
50005^80 + 23899^95
50005^41 + 17867^39
50005^9 + 17887^47
50005^62 + 20803^37
50005^75 + 20811^49
50005^19 + 22454^83
50005^77 + 17934^23
50005^70 + 24087^79
50005^96 + 22517^21
50005^24 + 22531^56
50005^29 + 22562^46
50005^44 + 24216^14
50005^54 + 24323^97
50005^38 + 18263^28
50005^53 + 24368^15
50005^98 + 22788^85
50005^49 + 24407^22
50005^98 + 22842^58
50005^64 + 24448^84
50005^66 + 18352^6
50005^3 + 18366^6
50005^24 + 21286^100
50005^66 + 18387^23
50005^55 + 22946^8
50005^76 + 24534^42
50005^15 + 18483^15
50005^44 + 24686^65
50005^78 + 18609^83
50005^43 + 21502^64
50005^90 + 18618^57
50005^57 + 24739^29
50005^52 + 23166^96
50005^69 + 18628^24
50005^10 + 23179^61
50005^30 + 18663^48
50005^91 + 21606^51
50005^93 + 23228^8
50005^68 + 21667^19
50005^35 + 18739^54
50005^16 + 23278^46
50005^10 + 23292^73
50005^30 + 23297^96
50005^77 + 21748^83
50005^68 + 24957^68
50005^57 + 21779^77
50005^92 + 23387^23
50005^79 + 21807^47
50006^99 + 47^40
50006^10 + 12637^94
50006^62 + 25303^79
50006^62 + 25337^41
50006^7 + 12825^28
50006^96 + 12897^69
50006^66 + 19105^82
50006^22 + 19159^97
50006^48 + 527^67
50006^80 + 19189^11
50006^100 + 647^11
50006^39 + 25809^13
50006^10 + 25843^65
50006^28 + 13325^66
50006^86 + 19517^69
50006^81 + 26005^7
50006^49 + 13493^4
50006^83 + 26053^55
50006^94 + 13539^59
50006^58 + 1077^31
50006^15 + 26093^83
50006^59 + 1081^8
50006^50 + 1129^23
50006^4 + 13671^88
50006^11 + 26265^52
50006^32 + 19909^53
50006^13 + 1363^50
50006^32 + 26409^86
50006^10 + 1483^58
50006^27 + 13999^81
50006^21 + 1537^28
50006^3 + 14039^29
50006^96 + 1567^53
50006^53 + 26775^15
50006^64 + 20367^55
50006^47 + 1829^27
50006^29 + 26887^4
50006^92 + 26941^34
50006^87 + 27013^76
50006^85 + 20611^13
50006^6 + 14549^77
50006^86 + 2087^51
50006^16 + 14675^16
50006^99 + 2209^20
50006^6 + 14711^100
50006^78 + 2263^3
50006^70 + 14733^29
50006^9 + 27321^74
50006^74 + 2373^81
50006^14 + 21031^45
50006^10 + 21199^46
50006^72 + 21203^33
50006^33 + 2613^33
50006^11 + 27651^28
50006^33 + 27761^77
50006^84 + 27805^6
50006^22 + 15391^12
50006^10 + 2925^25
50006^58 + 15451^54
50006^34 + 28151^9
50006^5 + 15657^81
50006^64 + 21855^81
50006^39 + 21961^6
50006^47 + 21983^48
50006^30 + 28467^5
50006^41 + 28481^60
50006^67 + 3445^23
50006^37 + 16009^25
50006^7 + 16083^17
50006^98 + 28673^10
50006^90 + 3657^20
50006^51 + 3739^77
50006^14 + 3855^38
50006^39 + 16347^43
50006^7 + 16385^68
50006^32 + 22557^19
50006^76 + 22621^65
50006^88 + 22639^65
50006^54 + 16523^45
50006^40 + 16525^80
50006^99 + 29103^96
50006^42 + 4089^86
50006^86 + 4107^16
50006^72 + 29157^54
50006^18 + 4165^23
50006^3 + 29229^94
50006^13 + 4203^6
50006^48 + 29371^16
50006^43 + 29373^37
50006^75 + 16827^64
50006^42 + 4445^87
50006^29 + 17023^29
50006^50 + 4559^89
50006^79 + 4615^10
50006^90 + 23355^24
50006^50 + 17209^94
50006^81 + 23391^21
50006^12 + 17269^58
50006^37 + 17365^72
50006^83 + 23519^29
50006^83 + 23537^9
50006^92 + 5029^7
